-146.343,61.086,Allison Point,CP,907.835.2282,mid may-mid sep, ,61, ,45ft ,AK,3.1,S ,Valdez,,
-151.865,59.768,Anchor River State Rec Area,SRA,907.262.5581, , ,75, ,NR ,AK,1.3,SW,Anchor Point,,
-150.81,66.566,Arctic Circle - Dalton Hwy,BLM, , , , , ,NH VT NR ,AK,,,,,
-134.737,58.381,Auk Village,NF,907.586.8800/907.225.3101, , ,17, ,NR ,AK,12.7,NW,Juneau,,
-149.256,60.751,Bertha Creek,NF,907.783.3242/907.743.9500, , ,12, ,NR ,AK,17.4,SE,Hope,,
-149.849,61.543,Big Lake North State Rec Area,SRA,907.745.3975, , ,60, ,NR ,AK,13.7,W,Wasilla,,
-150.702,60.516,Bings Landing State Rec Area,SRA,907.262.5581, , ,40, ,NR ,AK,2.6,SE,Sterling,,
-146.641,64.319,Birch Lake State Rec Area,SRA, , , ,25, ,VT DW NR L$ ,AK,13.7,SE,Salcha,,
-149.464,60.973,Bird Creek - Chugach State Park,SP,907.345.5014, , ,47, ,NR ,AK,22.3,SE,Anchorage,,
-148.909,60.794,Black Bear,NF,907.783.3242/907.743.9500, , ,12, ,NR ,AK,14,SE,Girdwood,,
-132.823,56.615,Blind Slough,NF, , ,take ferry, , ,NR ,AK,14.6,S ,Petersburg,,
-145.686,61.121,Blueberry Lake State Rec Area,SRA, , , ,25, ,VT DW NR ,AK,22.1,E,Valdez,,
-148.055,63.294,Brushkana Creek,BLM, , , , , ,NR ,AK,28.6,E,Cantwell,,
-152.478,57.763,Buskin River State Rec Area,SRA,907.486.6339, ,take ferry,15, ,NR ,AK,3.2,SW,Kodiak,,
-150.115,62.747,Byers Lake - Denali State Park,SP,907.745.3975, , ,65, ,NR ,AK,30,N,Trapper Creek,,
-149.733,61.227,Centennial Camper Park,CP,907.343.6986, , ,90, ,,AK,5.6,E,Anchorage,,
-146.373,64.903,Chena River State Rec Area,SRA,907.451.2695, ,3 campgrounds along same road,75, ,NH FT DW NR ,AK,39.7,E,Fairbanks,,
-147.81,64.84,Chena River State Rec Site,SRA,907.451.2695, ,in town Fairbanks,60, ,WE FT DW NR ,AK,2.8,W,Fairbanks,,
-144.763,60.661,Childs Glacier Recreation Area,NP,907.424.7661,early jun-late sep, ,9, ,NH VT DW RS ,AK,,,,,
-135.363,59.148,Chilkat State Park,SP,907.766.2292, , ,30, ,NR ,AK,6.7,SE,Haines,,
-135.559,59.334,Chilkoot Lake State Rec Area,SRA,907.465.4563, , ,30, ,NR ,AK,7.9,NW,Haines,,
-151.387,60.233,Clam Gulch State Rec Area,SRA,907.262.5581, , ,115, ,NR ,AK,0.2,NE,Clam Gulch,,
-145.442,64.055,Clearwater State Rec Area,SRA, , , ,17, ,VT DW NR ,AK,8.8,E,Delta Junction,,
-149.533,60.85,Coeur Dalene,NF,907.224.3374/907.743.9500, , ,6, ,NR ,AK,6.1,SE,Hope,,
-149.888,60.484,Cooper Creek Trailhead,NF,907.224.3374/907.743.9500,early jun-late aug, ,34, ,NH RS ,AK,1.9,W,Cooper Landing,,
-149.688,60.499,Crescent Creek,NF,907.224.3374/907.743.9500, , ,13, ,NR ,AK,5,E,Cooper Landing,,
-146.694,65.274,Cripple Creek - Steese Hwy,BLM, , , ,12, ,NH VT NR ,AK,42.4,NE,Fairbanks,,
-151.688,60.027,Deep Creek State Rec Area,SRA,907.262.5581, , ,160, ,NR ,AK,1.8,S ,Ninilchik,,
-145.733,64.06,Delta State Rec Area,SRA,907.451.2695, , ,25, ,NR ,AK,1.5,N ,Delta Junction,,
-150.17,62.737,Denali Viewpoint - Denali State Park,SP,907.745.3975, , ,25, ,NR ,AK,28.8,N ,Talkeetna,,
-151.016,60.804,Discovery State Rec Area,SRA,907.262.5581, , ,53, ,NR ,AK,19.1,NE,Kenai,,
-150.799,60.702,Dolly Varden Lake, , , , , , ,,AK,18.6,NE,Kenai,,
-145.883,63.677,Donnelly Creek State Rec Area,SRA, , , ,12, ,VT DW NR ,AK,25.3,S ,Delta Junction,,
-145.478,62.146,Dry Creek State Rec Area,SRA,907.745.3975, , ,60, ,NR ,AK,3.6,NE,Glennallen,,
-135.359,59.483,Dyea - Klondike National Historical Park,NP,907.983.9224, , , , ,NH NR ,AK,2.3,NW,Skagway,,
-141.238,64.774,Eagle - Taylor Hwy,BLM,907.883.5121, , ,16, ,NH VT NR ,AK,1.5,SW,Eagle,,
-149.57,61.307,Eagle River - Chugach State Park,SP,907.345.5014, , ,58, ,PT DW NR ,AK,1.2,S ,Eagle River,,
-143.195,63.165,Eagle Trail State Rec Area,SRA,907.451.2695, , ,35, ,NR ,AK,13.5,SW,Tok,,
-132.852,55.707,Eagles Nest,NF,907.826.3271/907.225.3101,mid may-mid sep,take ferry,12, ,NH RS ,AK,,,,,
-149.148,61.409,Eklunta - Chugach State Park,SP,907.345.5014, , ,50, ,PT DW NR ,AK,11.1,E,Chugiak,,
-149.274,61.61,Finger Lake State Rec Area,SRA,907.745.3975, , ,40, ,NR ,AK,5.8,E,Wasilla,,
-149.816,65.918,Five Mile - Dalton Hwy,BLM, , , , , ,NH VT NR ,AK,,,,,
-152.36,57.831,Fort Abercrombie State Park,SP,907.486.6339, ,take ferry, , ,NR ,AK,3.3,NE,Kodiak,,
-149.46,68.5,Galbraith Lake - Dalton Hwy,BLM, , , , , ,NH VT NR ,AK,,,,,
-149.292,60.725,Granite Creek,NF,907.783.3242/907.743.9500,early jun-late aug, ,19, ,NH RS ,AK,16.6,N,Moose Pass,,
-146.882,64.438,Harding Lake State Rec Area,SRA,907.451.2695, , ,90, ,NR ,AK,2.8,SE,Salcha,,
-132.862,55.467,Harris River,NF,907.826.3271/907.225.3101,mid may-mid sep,take ferry,15, ,NH RS ,AK,10.9,SE,Klawock,,
-150.204,60.466,Hidden Lake  - Kenai Wildlife Refuge,NWR,907.262.7021, , ,43, ,NR ,AK,12.7,W,Cooper Landing,,
-150.755,60.536,Izaak Walton State Rec Area,SRA,907.262.5581, , ,25, ,NR ,AK,0.3,E,Sterling,,
-151.269,60.293,Johnson Lake State Rec Area,SRA,907.262.5581, , ,50, ,NR ,AK,3.1,S ,Kasilof,,
-148.495,61.776,King Mountain State Rec Area,SRA,907.745.3975, , ,20, ,NR ,AK,1.8,SW,Chickaloon,,
-146.551,62.28,Lake Louise State Rec Area,SRA,907.745.3975, ,for res call 907-441-7575,60, ,NR ,AK,34.1,W,Glennallen,,
-131.684,55.445,Last Chance,NF,907.225.2148/907.225.3101,mid may-late aug, ,18, ,NH RS ,AK,7.2,N ,Ketchikan,,
-146.951,61.987,Little Nelchina State Rec Area,SRA, , , ,11, ,NW NR N$ ,AK,45.9,W,Glennallen,,
-150.322,60.462,Lower Ohmer Lake, , , , , , ,,AK,16.7,W,Cooper Landing,,
-150.461,60.473,Lower Skilak Lake, , , , , , ,,AK,21.4,W,Cooper Landing,,
-150.163,67.318,Marion Creek - Dalton Hwy,BLM, , , , , ,NH VT NR ,AK,,,,,
-147.795,61.798,Matanuska Glacier State Rec Area,SRA, , ,tents only,6, ,VT DW NR ,AK,36.4,E,Sutton,,
-134.587,58.411,Mendenhall Lake,NF,907.586.8800/907.225.3101,mid may-mid sep, ,74, ,WES RS ,AK,9.6,NW,Juneau,,
-143.543,63.374,Moon Lake State Rec Area,SRA, , , ,15, ,VT DW NR ,AK,6.1,W,Tanacross,,
-150.863,60.5,Morgans Landing State Rec Area,SRA,907.262.5581, , ,40, ,NR ,AK,4.2,SW,Sterling,,
-136.026,59.453,Mosquito Lake State Rec Area,SRA, , , ,5, ,PT DW NR L$ ,AK,25.4,NW,Haines,,
-146.621,65.356,Mount Prindle - Steese Hwy,BLM, , , ,13, ,NH VT NR ,AK,,,,,
-150.027,61.708,Nancy Lake State Rec Area,SRA,907.745.3975, , , , ,NR ,AK,37.1,W,Sutton,,
-151.668,60.051,Ninilchik State Rec Area,SRA,907.262.5581, , ,115, ,NR ,AK,0,E,Ninilchik,,
-132.741,56.58,Ohmer Creek,NF,907.772.5826/907.225.3101, ,take ferry,12, ,NR ,AK,18,SE,Petersburg,,
-147.088,65.37,Ophir Creek - Steese Hwy,BLM, , , ,19, ,NH VT NR ,AK,,,,,
-145.535,62.868,Paxson Lake,BLM,907.822.3217, , ,50, ,NR ,AK,39.8,N ,Gakona,,
-143.868,62.729,Porcupine Creek State Rec Area,SRA,907.822.3973, , ,12, ,VT DW NR ,AK,3.3,NE,Slana,,
-149.664,60.931,Porcupine Trailhead,NF,907.224.3374/907.743.9500,early jun-late aug, ,37, ,NH RS ,AK,1.1,NW,Hope,,
-149.369,60.341,Primrose Trailhead,NF,907.224.3374/907.743.9500, , ,21, ,NR ,AK,16.5,N,Seward,,
-149.362,60.407,Ptarmigan Creek Trailhead,NF,907.224.3374/907.743.9500,early jun-late aug, ,49, ,NH RS ,AK,21.1,N,Seward,,
-149.728,60.479,Quartz Creek,NF,907.224.3374/907.743.9500,early jun-late aug, ,88, ,NH RS ,AK,3.7,E,Cooper Landing,,
-145.827,64.198,Quartz Lake State Rec Area,SRA,907.451.2695, , ,100, ,NR ,AK,11.4,N ,Delta Junction,,
-148.894,63.73,Riley Creek - Denali National Park,NP,800.622.7275, , ,150, ,NH NR ,AK,,,,,
-149.822,61.558,Rocky Lake State Rec Area,SRA,907.317.9094 , , ,10, ,VT DW NR ,AK,12.7,W,Wasilla,,
-149.974,60.484,Russian River Complex,NF,907.224.3374/907.743.9500,early jun-late aug, ,236, ,NH RS ,AK,4.8,W,Cooper Landing,,
-146.937,64.469,Salcha River State Rec Area,SRA, , , , , ,NR L$ ,AK,0.1,E,Salcha,,
-149.294,63.74,Savage River - Denali National Park,NP,800.622.7275, , ,35, ,NH NR ,AK,,,,,
-135.207,57.062,Sawmill Creek,NF,907.747.4236/907.225.3101, ,take ferry,12, ,NR ,AK,4.7,E,Sitka,,
-131.726,55.511,Settlers Cove State Rec Area,SRA, , , , , ,35ft VT DW NR L$ ,AK,12.1,N ,Ketchikan,,
-131.698,55.409,Signal Creek,NF,907.225.2148/907.225.3101,mid apr-late aug, ,24, ,NH RS ,AK,5.1,NW,Ketchikan,,
-145.52,62.528,Sourdough Creek,BLM,907.822.3217, , ,40, ,NR ,AK,17.1,NW,Gakona,,
-145.174,61.665,Squirrel Creek State Rec Area,SRA,907.745.3975, , ,25, ,NR ,AK,20.5,S ,Copper Center,,
-151.812,59.843,Stariski State Rec Area,SRA, , , ,13, ,DP VT DW NR L$ ,AK,4.6,N,Anchor Point,,
-135.369,57.133,Starrigavan,NF,907.747.4236/907.225.3101,all year,take ferry,54, ,NH RS ,AK,5.7,N ,Sitka,,
-146.012,63.052,Tangle Lakes,BLM,907.822.3217, , ,25, ,NR ,AK,,,,,
-149.576,63.671,Teklanika  River - Denali National Park,NP,800.622.7275, , ,55, ,NH NR ,AK,22.6,SW,Healy,,
-149.497,60.636,Tenderfoot Creek,NF,907.224.3374/907.743.9500,early jun-late aug, ,33, ,NH RS ,AK,11.2,NW,Moose Pass,,
-149.557,60.531,Tern Lake, , , , , , ,,AK,7.1,NW,Moose Pass,,
-142.839,63.325,Tok River State Rec Area,SRA,907.451.2405, , ,45, ,NR ,AK,4.6,E,Tok,,
-149.381,60.416,Trail River,NF,907.224.3374/907.743.9500,early jun-late aug, ,114, ,NH RS ,AK,5,S ,Moose Pass,,
-147.257,65.192,Upper Chatanika River State Rec Area,SRA,907.451.2695, , ,25, ,NR ,AK,27.9,NE,Fairbanks,,
-150.319,60.438,Upper Skilak,NWR,907.262.5581, , ,25, ,NR ,AK,16.9,W,Cooper Landing,,
-146.214,61.138,Valdez Glacier,CP,907.873.4058, , ,87, ,E DP 30ft SH NR ,AK,4.5,E,Valdez,,
-141.633,64.077,Walker Fork - Taylor Hwy,BLM,907.883.5121, , ,21, ,NH VT NR ,AK,9.2,E,Chicken,,
-142.229,63.886,West Fork - Taylor Hwy,BLM,907.883.5121, , ,25, ,NH VT NR ,AK,,,,,
-147.73,65.087,Whitefish - Lower Chatanika State Rec Area,SRA, , , ,25, ,VT DW NR ,AK,17.2,N ,Fairbanks,,
-148.88,60.786,Williwaw,NF,907.783.3242/907.743.9500,early jun-late aug, ,68, ,NH RS ,AK,14.9,SE,Girdwood,,
-150.058,61.753,Willow Creek State Rec Area,SRA,907.745.3975, , ,140, ,NR ,AK,2.5,SW,Willow,,
-124.23,40.269,A.W. Way County Park,CP,707.445.7651, ,Nice out of the way park - Halfway along beautiful drive called Patrolia Loop,30, ,NH ND FT DW SH NR ,CA,21.3,S ,Ferndale,,
